Tm,R/G,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd
ARI,4.44,4436,796,4.8,103,0.316,0.264,0.266,0.324,0.331,0.414,0.419,0.738,0.749,97,0.54,-28.2,-3.2,0.691,0.252,0.15,142.2
ATL,3.54,4338,623,3.9,97,0.297,0.251,0.257,0.314,0.32,0.359,0.404,0.674,0.724,87,0.438,-90.2,-9.3,0.597,0.202,0.108,81.7
BAL,4.4,4319,708,4.4,100,0.291,0.25,0.258,0.307,0.321,0.421,0.417,0.728,0.738,97,0.485,-35.4,-3.7,0.661,0.251,0.171,73.2
BOS,4.62,4371,773,4.7,104,0.305,0.265,0.264,0.325,0.327,0.415,0.426,0.74,0.753,97,0.52,-27.9,-3,0.682,0.242,0.149,98.5
CHC,4.25,4355,748,4.6,97,0.305,0.244,0.258,0.321,0.322,0.398,0.406,0.719,0.728,98,0.52,-9.7,-1.3,0.681,0.268,0.154,122.1
CHW,3.84,4386,646,3.9,95,0.296,0.25,0.251,0.306,0.313,0.38,0.406,0.686,0.719,91,0.437,-62.3,-6.3,0.611,0.208,0.13,90.7
CIN,3.95,4426,721,4.4,99,0.29,0.248,0.26,0.312,0.324,0.394,0.41,0.706,0.734,92,0.496,-61.3,-6.5,0.661,0.252,0.146,148.7
CLE,4.16,4303,731,4.6,104,0.299,0.256,0.264,0.325,0.327,0.401,0.426,0.725,0.753,93,0.501,-47.9,-5,0.675,0.253,0.144,106.8
COL,4.55,4328,771,4.8,113,0.313,0.265,0.28,0.315,0.346,0.432,0.441,0.748,0.787,89,0.536,-102,-10.5,0.689,0.246,0.167,127.5
DET,4.28,4351,765,4.7,98,0.322,0.27,0.255,0.328,0.317,0.42,0.411,0.748,0.729,105,0.517,40.9,3.9,0.683,0.237,0.15,107.1
HOU,4.5,4317,758,4.7,96,0.292,0.25,0.253,0.315,0.315,0.437,0.408,0.752,0.722,107,0.517,54.6,5.3,0.717,0.289,0.187,158.6
KCR,4.47,4326,747,4.6,102,0.301,0.269,0.26,0.322,0.324,0.412,0.42,0.734,0.744,98,0.509,-22.4,-2.4,0.674,0.225,0.144,119
LAA,4.08,4313,676,4.2,93,0.28,0.246,0.249,0.307,0.31,0.396,0.402,0.702,0.713,97,0.465,-16.9,-1.9,0.635,0.234,0.15,80.3
LAD,4.12,4287,743,4.6,95,0.292,0.25,0.254,0.326,0.318,0.413,0.401,0.739,0.718,106,0.524,49.8,4.8,0.69,0.272,0.163,89.7
MIA,3.78,4332,663,4.1,96,0.307,0.26,0.256,0.31,0.319,0.384,0.402,0.694,0.721,93,0.467,-58.9,-6.1,0.621,0.205,0.124,115.9
MIL,4.04,4350,679,4.2,99,0.303,0.251,0.26,0.307,0.324,0.393,0.41,0.7,0.734,91,0.476,-77.3,-8,0.632,0.227,0.142,106.4
MIN,4.3,4360,661,4.1,98,0.292,0.247,0.256,0.305,0.318,0.399,0.413,0.704,0.732,92,0.45,-60.5,-6.2,0.637,0.239,0.152,96.6
NYM,4.22,4392,708,4.3,97,0.287,0.244,0.257,0.312,0.32,0.4,0.404,0.712,0.724,96,0.491,-25.5,-2.8,0.651,0.249,0.156,79.2
NYY,4.72,4378,785,4.8,99,0.283,0.251,0.257,0.323,0.32,0.421,0.415,0.744,0.735,102,0.526,22.5,2.1,0.703,0.276,0.17,97.1
OAK,4.28,4400,698,4.3,96,0.288,0.251,0.252,0.312,0.315,0.395,0.408,0.707,0.722,96,0.47,-28.8,-3,0.645,0.238,0.144,101.7
PHI,3.86,4388,646,3.9,97,0.299,0.249,0.257,0.303,0.32,0.382,0.404,0.684,0.725,89,0.449,-88.6,-9.1,0.613,0.213,0.133,105
PIT,4.3,4433,749,4.5,98,0.314,0.26,0.259,0.323,0.323,0.396,0.408,0.719,0.731,97,0.512,-18.5,-2.1,0.664,0.227,0.136,115.3
SDP,4.01,4364,654,4,95,0.292,0.243,0.254,0.3,0.318,0.385,0.401,0.685,0.718,91,0.457,-70.7,-7.3,0.62,0.23,0.142,105.5
SEA,4.05,4406,725,4.4,94,0.292,0.249,0.25,0.311,0.312,0.411,0.404,0.722,0.716,101,0.487,12.1,1,0.661,0.253,0.162,102.3
SFG,4.3,4339,750,4.6,98,0.313,0.267,0.259,0.326,0.323,0.406,0.408,0.732,0.731,101,0.523,4.4,0.3,0.672,0.231,0.139,110.5
STL,3.99,4345,719,4.4,100,0.303,0.253,0.262,0.321,0.325,0.394,0.412,0.716,0.737,95,0.503,-39.8,-4.2,0.658,0.24,0.142,91.8
TBR,3.98,4334,711,4.4,95,0.3,0.252,0.251,0.314,0.313,0.406,0.406,0.72,0.719,100,0.485,7.6,0.6,0.664,0.241,0.154,114.4
TEX,4.64,4327,771,4.8,102,0.3,0.257,0.262,0.325,0.325,0.413,0.422,0.739,0.747,98,0.523,-13.5,-1.5,0.699,0.258,0.156,127.3
TOR,5.5,4290,878,5.5,101,0.298,0.269,0.259,0.34,0.322,0.457,0.419,0.797,0.741,115,0.586,119.3,11.6,0.771,0.304,0.188,127.6
WSN,4.34,4323,736,4.6,101,0.3,0.251,0.263,0.321,0.327,0.403,0.413,0.724,0.74,96,0.516,-30.7,-3.5,0.67,0.257,0.151,86.2
LgAvg,4.25,4354,725,4.5,99,0.299,0.254,0.258,0.317,0.321,0.405,0.412,0.721,0.733,97,0.499,-23,-2,0.664,0.244,0.15,111
