Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,697.2,4.58,2981,695,374,355,119,267,10,21,642,0.261,0.332,0.455,0.335
Astros,706,4.61,3051,697,373,362,91,257,7,37,779,0.255,0.326,0.426,0.323
Athletics,687,4.93,2979,722,422,376,111,236,7,30,550,0.27,0.333,0.458,0.337
Blue Jays,732,4.5,3169,728,398,366,104,282,17,26,687,0.257,0.328,0.427,0.323
Braves,701.1,4.62,3087,708,400,360,95,305,12,29,622,0.261,0.34,0.434,0.332
Brewers,700.2,3.98,2976,664,329,310,89,251,19,32,655,0.25,0.32,0.409,0.313
Cardinals,705.1,4.45,3027,698,374,349,99,254,26,30,672,0.258,0.326,0.429,0.321
Cubs,704.1,3.78,2947,624,326,296,101,259,16,21,711,0.235,0.307,0.399,0.303
Diamondbacks,702,3.55,2965,648,313,277,78,262,24,15,721,0.244,0.313,0.39,0.302
Dodgers,703.2,3.77,2936,634,313,295,96,229,16,21,762,0.239,0.303,0.401,0.302
Giants,695,5.34,3072,779,442,412,112,250,16,26,598,0.284,0.346,0.483,0.35
Indians,703.2,3.43,2902,624,289,268,73,230,8,24,767,0.237,0.303,0.374,0.294
Mariners,697.1,4.94,3023,729,414,383,124,241,13,32,578,0.27,0.333,0.464,0.338
Marlins,699.2,5.52,3124,746,453,429,113,311,33,44,573,0.275,0.356,0.47,0.35
Mets,697.2,5.65,3147,809,469,438,124,291,26,19,642,0.29,0.358,0.482,0.355
Nationals,709.2,3.82,2980,630,327,301,90,261,15,22,705,0.236,0.308,0.391,0.301
Orioles,686,5.38,3048,746,434,410,115,282,10,36,617,0.278,0.35,0.47,0.349
Padres,696.2,5.7,3101,763,475,441,133,298,18,40,616,0.28,0.357,0.492,0.359
Phillies,694,4.69,3024,730,390,362,94,263,22,31,574,0.271,0.34,0.443,0.334
Pirates,692.2,4.53,3011,720,379,349,101,269,21,30,632,0.269,0.341,0.453,0.338
Rangers,697.1,4.54,2986,682,379,352,100,265,8,34,542,0.256,0.329,0.419,0.322
Rays,702,4.47,3030,686,385,349,101,261,21,22,622,0.253,0.322,0.424,0.318
Red Sox,719.1,3.77,3012,644,319,301,104,240,10,30,768,0.237,0.304,0.41,0.306
Reds,690,5.47,3111,750,452,419,121,317,17,38,613,0.278,0.359,0.475,0.354
Rockies,708.2,4.09,3028,683,342,322,92,263,10,28,649,0.255,0.324,0.421,0.319
Royals,705.2,4.95,3079,746,412,388,110,266,15,30,600,0.271,0.339,0.452,0.337
Tigers,681.1,5.34,3049,766,432,404,110,277,30,27,618,0.283,0.352,0.469,0.347
Twins,697,4.43,2979,699,370,343,102,228,13,31,543,0.261,0.323,0.435,0.323
White Sox,690,5.18,3032,709,422,397,111,313,22,26,544,0.266,0.346,0.463,0.344
Yankees,710.2,3.96,3048,654,345,313,89,263,13,28,742,0.24,0.311,0.394,0.304
