Team,IP,ERA,TBF,H,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Angels,743,3.84,3049,678,335,317,105,203,15,23,670,0.242,0.297,0.404,0.3
Astros,740,3.65,3060,617,327,300,101,265,10,33,814,0.225,0.3,0.388,0.297
Athletics,744,4.44,3188,722,404,367,99,266,10,31,652,0.252,0.32,0.421,0.318
Blue Jays,733,4.35,3147,732,386,354,99,267,8,22,685,0.258,0.325,0.431,0.324
Braves,740,4.82,3219,755,421,396,97,279,27,41,636,0.265,0.337,0.442,0.332
Brewers,745,4.01,3188,717,368,332,96,302,26,32,691,0.254,0.332,0.419,0.322
Cardinals,745,3.6,3126,695,331,298,84,239,24,37,679,0.248,0.313,0.395,0.303
Cubs,743,4.12,3161,670,369,340,93,295,13,45,728,0.241,0.322,0.397,0.311
Diamondbacks,739,3.79,3107,661,346,311,93,254,21,23,761,0.237,0.304,0.405,0.303
Dodgers,741,3.01,2989,592,267,248,88,213,17,19,787,0.217,0.278,0.36,0.275
Giants,757,3.73,3215,736,334,314,70,246,26,24,636,0.253,0.315,0.395,0.304
Indians,737,3.19,2964,643,275,261,90,176,7,21,847,0.234,0.284,0.385,0.287
Mariners,743,4,3109,670,358,330,113,249,15,21,666,0.239,0.303,0.408,0.304
Marlins,743,4.15,3194,704,369,343,80,316,26,31,629,0.252,0.332,0.395,0.314
Mets,737,4.41,3231,729,394,361,96,302,25,36,732,0.257,0.333,0.415,0.321
Nationals,737,3.94,3088,670,345,323,99,234,24,38,752,0.241,0.308,0.4,0.303
Orioles,755,4.6,3245,759,407,386,127,297,11,24,616,0.261,0.333,0.447,0.334
Padres,734,3.75,3068,654,341,306,93,256,10,35,709,0.238,0.309,0.392,0.303
Phillies,747,4.45,3211,741,392,369,127,264,17,32,735,0.259,0.325,0.451,0.329
Pirates,748,3.95,3197,744,352,328,81,242,11,28,630,0.259,0.321,0.41,0.314
Rangers,737,4.85,3225,761,437,397,114,294,14,40,565,0.266,0.34,0.448,0.337
Rays,743,3.52,3069,638,319,291,92,242,16,26,730,0.23,0.296,0.382,0.291
Red Sox,763,3.7,3205,740,349,314,91,225,8,19,812,0.252,0.308,0.402,0.305
Reds,740,4.89,3175,692,417,402,127,314,20,39,687,0.249,0.332,0.455,0.334
Rockies,729,4.93,3149,770,415,399,98,269,10,22,621,0.273,0.34,0.456,0.339
Royals,732,4.33,3139,734,379,352,86,253,9,22,616,0.26,0.323,0.417,0.317
Tigers,739,5.38,3249,821,462,442,108,261,12,34,584,0.282,0.344,0.457,0.341
Twins,739,4.76,3226,788,418,391,122,255,24,38,623,0.271,0.336,0.457,0.337
White Sox,731.2,4.4,3168,675,398,358,131,319,14,42,649,0.243,0.328,0.437,0.327
Yankees,738,3.54,3030,594,315,290,103,241,5,25,818,0.217,0.285,0.371,0.284
