Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,23,28.7,4.07,93,69,.574,3.66,162,162,160,2,11,1,43,1441.0,1309,659,586,171,516,45,1482,38,5,82,6072,128,3.80,1.266,8.2,1.1,3.2,9.3,2.87,1090
ATL,26,29.4,5.07,72,90,.444,4.72,162,162,162,0,6,0,36,1441.1,1463,821,756,192,584,39,1258,70,5,58,6306,93,4.51,1.420,9.1,1.2,3.6,7.9,2.15,1161
BAL,26,28.2,5.19,75,87,.463,4.97,162,162,161,1,10,1,35,1441.0,1505,841,795,242,579,21,1233,60,6,53,6293,88,4.96,1.446,9.4,1.5,3.6,7.7,2.13,1129
BOS,27,28.4,4.12,93,69,.574,3.70,162,162,157,5,11,1,39,1482.1,1384,668,610,195,465,18,1580,49,3,43,6217,123,3.78,1.247,8.4,1.2,2.8,9.6,3.40,1102
CHC,28,30.8,4.29,92,70,.568,3.95,162,162,160,2,8,1,38,1447.1,1294,695,636,194,554,29,1439,66,4,73,6108,112,4.20,1.277,8.0,1.2,3.4,8.9,2.60,1071
CHW,31,28.7,5.06,67,95,.414,4.78,162,162,162,0,3,0,25,1421.2,1384,820,755,242,632,36,1193,68,5,67,6200,90,5.17,1.418,8.8,1.5,4.0,7.6,1.89,1115
CIN,31,27.6,5.36,68,94,.420,5.17,162,162,160,2,8,1,33,1430.0,1442,869,821,248,631,37,1300,77,7,62,6286,87,5.08,1.450,9.1,1.6,4.0,8.2,2.06,1127
CLE,20,28.9,3.48,102,60,.630,3.30,162,162,155,7,19,3,37,1440.2,1267,564,529,163,406,15,1614,45,1,48,5866,138,3.33,1.161,7.9,1.0,2.5,10.1,3.98,980
COL,21,27.0,4.67,87,75,.537,4.51,162,162,161,1,9,1,47,1437.2,1453,757,721,190,532,20,1270,50,10,69,6177,112,4.32,1.381,9.1,1.2,3.3,8.0,2.39,1107
DET,29,28.3,5.52,64,98,.395,5.36,162,162,160,2,4,1,32,1420.1,1587,894,846,218,538,42,1202,61,4,53,6298,84,4.73,1.496,10.1,1.4,3.4,7.6,2.23,1143
HOU,27,28.5,4.32,101,61,.623,4.12,162,162,161,1,9,0,45,1446.0,1314,700,662,192,522,17,1593,70,4,86,6111,99,3.91,1.270,8.2,1.2,3.2,9.9,3.05,1073
KCR,29,30.3,4.88,80,82,.494,4.61,162,162,161,1,6,1,39,1437.2,1480,791,737,196,519,24,1216,52,6,48,6218,97,4.43,1.390,9.3,1.2,3.2,7.6,2.34,1114
LAA,31,29.1,4.38,80,82,.494,4.20,162,162,161,1,10,1,43,1440.2,1373,709,672,224,470,25,1312,44,6,57,6030,102,4.43,1.279,8.6,1.4,2.9,8.2,2.79,999
