Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,3-Apr,,SEA,"W,3-0",30,27,3,6,0,0,2,3,1,0,6,0,0,1,0,1,1,0,0.222,0.241,0.444,0.686,3,10,R,F.Hernandez(55)
2,2,4-Apr,,SEA,"W,2-1",29,26,2,5,0,0,2,2,3,0,3,0,0,0,1,2,0,2,0.208,0.259,0.434,0.693,3,10,R,H.Iwakuma(55)
3,3,5-Apr,,SEA,"W,5-3",55,51,5,13,4,0,1,5,3,0,9,0,1,0,1,2,0,0,0.231,0.277,0.413,0.69,12,11,L,J.Paxton(72)
4,4,6-Apr,,SEA,"L,2-4",36,32,2,6,0,0,2,2,3,1,10,1,0,0,1,1,0,0,0.221,0.277,0.404,0.681,7,11,L,A.Miranda(50)
5,5,7-Apr,,KCR,"L,1-5",33,30,1,6,1,0,0,1,3,0,8,0,0,0,0,3,0,0,0.217,0.276,0.373,0.65,5,10,L,J.Vargas(61)
6,6,8-Apr,,KCR,"L,3-7",35,32,3,9,1,0,1,3,2,0,4,1,0,0,0,2,0,1,0.227,0.287,0.379,0.666,5,10,L,D.Duffy(54)
7,7,9-Apr,,KCR,"W,5-4",51,41,5,12,0,0,3,5,8,2,7,1,1,0,0,2,1,1,0.238,0.312,0.402,0.714,11,12,R,N.Karns(54)
8,8,10-Apr,@,SEA,"L,0-6",35,32,0,6,1,0,0,0,3,0,10,0,0,0,0,0,0,0,0.232,0.306,0.38,0.686,8,9,L,J.Paxton(75)
9,9,11-Apr,@,SEA,"W,7-5",42,39,7,14,2,0,1,7,3,0,10,0,0,0,0,1,1,1,0.248,0.318,0.394,0.711,8,11,L,A.Miranda(42)
10,10,12-Apr,@,SEA,"W,10-5",46,39,10,16,3,0,0,9,6,2,4,0,0,1,0,2,0,0,0.266,0.337,0.404,0.741,9,10,R,Y.Gallardo(35)
11,11,14-Apr,@,OAK,"W,7-2",44,37,7,10,3,0,1,5,4,0,3,2,0,1,2,0,2,0,0.267,0.339,0.407,0.746,10,10,R,K.Graveman(51)
12,12,15-Apr,@,OAK,"W,10-6",44,32,10,8,0,0,1,7,8,0,9,2,1,1,1,1,5,0,0.266,0.347,0.402,0.749,7,14,L,S.Manaea(62)
13,13,17-Apr,,LAA,"W,3-0",32,29,3,9,2,0,0,3,2,0,5,0,0,1,0,1,0,1,0.268,0.346,0.4,0.747,5,10,R,J.Chavez(60)
14,14,18-Apr,,LAA,"L,2-5",36,35,2,11,1,0,2,2,1,0,7,0,0,0,0,2,0,0,0.272,0.346,0.409,0.754,7,10,R,R.Nolasco(51)
15,15,19-Apr,,LAA,"W,5-1",33,29,5,9,2,1,1,5,2,0,9,1,1,0,0,2,1,0,0.274,0.347,0.417,0.764,4,10,R,J.Ramirez(52)
16,16,20-Apr,,LAA,"W,2-1",29,27,2,3,1,0,2,2,2,0,8,0,0,0,0,0,0,0,0.266,0.339,0.414,0.753,3,10,R,M.Shoemaker(68)
17,17,21-Apr,@,TBR,"W,6-3",39,35,6,11,3,0,1,5,3,0,9,0,0,1,1,1,0,0,0.269,0.34,0.419,0.759,6,10,R,A.Cobb(44)
18,18,22-Apr,@,TBR,"L,3-6",34,29,3,4,0,0,2,3,5,0,6,0,0,0,0,2,1,0,0.262,0.336,0.415,0.752,4,10,L,B.Snell(48)
19,19,23-Apr,@,TBR,"W,6-4",43,37,6,12,0,0,2,6,5,0,5,0,0,1,0,3,0,0,0.266,0.34,0.419,0.759,7,13,R,M.Andriese(45)
20,20,25-Apr,@,CLE,"W,4-2",38,36,4,11,2,0,0,4,1,0,8,1,0,0,1,2,0,0,0.268,0.34,0.416,0.756,7,12,R,J.Tomlin(50)
21,21,26-Apr,@,CLE,"L,6-7",40,36,6,8,2,0,2,6,3,0,13,1,0,0,2,1,0,0,0.266,0.338,0.418,0.756,7,9,R,T.Bauer(50)
22,22,27-Apr,@,CLE,"L,3-4",40,36,3,11,3,0,1,3,4,0,11,0,0,0,0,0,0,2,0.268,0.34,0.42,0.76,10,11,R,C.Kluber(55)
23,23,28-Apr,,OAK,"W,9-4",41,36,9,14,4,0,1,9,2,0,5,0,0,1,1,1,0,1,0.273,0.343,0.428,0.771,8,9,R,J.Cotton(28)
24,24,29-Apr,,OAK,"L,1-2",34,32,1,7,0,0,1,1,0,0,9,2,0,0,0,1,0,0,0.271,0.34,0.423,0.763,6,11,R,A.Triggs(76)
25,25,30-Apr,,OAK,"W,7-2",36,33,7,10,2,0,1,7,1,0,8,1,0,0,0,1,0,0,0.272,0.34,0.425,0.765,5,9,R,J.Hahn(48)
26,26,1-May,,TEX,"W,6-2",38,33,6,8,3,0,0,5,3,0,4,2,0,0,2,1,1,0,0.271,0.34,0.421,0.761,8,10,R,A.Cashner(55)
27,27,2-May,,TEX,"W,8-7",38,35,8,11,1,0,3,8,3,0,5,0,0,0,0,0,0,0,0.273,0.341,0.428,0.769,6,10,L,A.Claudio(43)
28,28,3-May,,TEX,"W,10-1",40,36,10,13,3,0,4,10,3,0,1,0,0,1,2,1,0,0,0.276,0.343,0.441,0.785,6,10,R,N.Martinez(21)
29,29,4-May,,TEX,"L,4-10",47,35,4,10,1,0,1,4,10,0,11,0,0,2,1,1,1,0,0.277,0.347,0.44,0.787,16,10,R,A.Griffin(55)
30,30,5-May,@,LAA,"W,7-6",41,39,7,12,3,0,2,7,2,0,6,0,0,0,0,3,1,0,0.278,0.347,0.443,0.79,4,10,R,J.Chavez(55)
31,31,6-May,@,LAA,"L,1-2",36,33,1,9,2,0,0,1,2,0,6,1,0,0,0,3,0,1,0.278,0.346,0.44,0.786,8,10,R,J.Ramirez(52)
32,32,7-May,@,LAA,"W,5-3",35,32,5,6,1,0,2,5,3,0,6,0,0,0,0,0,1,0,0.275,0.344,0.439,0.783,3,9,R,M.Shoemaker(43)
33,33,9-May,,ATL,"W,8-3",35,33,8,9,1,1,3,8,2,0,5,0,0,0,1,1,0,0,0.275,0.343,0.445,0.788,3,9,R,B.Colon(24)
34,34,10-May,,ATL,"W,4-2",35,29,4,7,3,0,0,4,6,0,5,0,0,0,1,3,1,0,0.274,0.344,0.442,0.786,7,9,L,J.Garcia(43)
35,35,11-May,@,NYY,"W,3-2",38,35,3,9,4,0,1,3,3,0,8,0,0,0,0,0,2,0,0.274,0.343,0.443,0.786,8,10,R,M.Pineda(56)
36,36,12-May,@,NYY,"W,5-1",40,38,5,11,1,0,1,5,2,0,11,0,0,0,0,0,1,0,0.274,0.342,0.441,0.784,8,10,L,J.Montgomery(46)
37,37,May 14 (1),@,NYY,"L,6-11",41,34,6,9,0,0,0,6,5,0,7,1,0,1,1,2,0,0,0.274,0.343,0.437,0.78,8,9,R,L.Severino(32)
38,38,May 14 (2),@,NYY,"W,10-7",41,36,10,10,1,0,4,9,2,0,9,1,0,1,0,0,0,0,0.274,0.343,0.442,0.785,4,10,R,M.Tanaka(11)
39,39,15-May,@,MIA,"W,7-2",40,34,7,8,3,0,2,7,4,2,6,2,0,0,0,1,0,0,0.273,0.343,0.444,0.786,6,14,R,D.Straily(67)
40,40,16-May,@,MIA,"W,12-2",47,42,12,14,2,0,2,11,5,0,9,0,0,0,1,0,0,0,0.275,0.345,0.446,0.791,8,13,R,T.Koehler(12)
41,41,17-May,@,MIA,"W,3-0",40,36,3,8,3,2,0,3,2,0,7,2,0,0,1,0,0,0,0.273,0.343,0.445,0.789,10,13,R,J.Urena(50)
