Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,3-Apr,,SDP,"W,14-3",44,36,14,14,4,0,4,12,5,2,5,2,0,1,0,0,0,0,0.389,0.477,0.833,1.311,6,14,R,J.Chacin(8)
2,2,4-Apr,,SDP,"L,0-4",30,28,0,5,0,0,0,0,2,0,5,0,0,0,0,4,0,0,0.297,0.378,0.547,0.925,3,14,L,C.Richard(75)
3,3,5-Apr,,SDP,"W,3-1",34,30,3,6,3,0,1,2,3,0,12,1,0,0,1,1,1,0,0.266,0.352,0.5,0.852,7,14,R,T.Cahill(53)
4,4,6-Apr,,SDP,"W,10-2",44,32,10,8,2,0,2,8,11,0,5,1,0,0,0,0,3,0,0.262,0.382,0.5,0.882,10,13,R,J.Weaver(40)
5,5,7-Apr,@,COL,"L,1-2",34,30,1,5,2,0,0,1,3,0,11,0,1,0,0,1,0,0,0.244,0.357,0.449,0.805,6,16,L,K.Freeland(64)
6,6,8-Apr,@,COL,"L,2-4",35,32,2,7,2,0,1,2,3,0,7,0,0,0,0,1,0,1,0.239,0.345,0.436,0.782,6,14,R,J.Gray(54)
7,7,9-Apr,@,COL,"W,10-6",46,40,10,15,3,1,1,9,5,0,8,0,1,0,1,1,1,0,0.263,0.362,0.461,0.823,9,16,L,T.Anderson(36)
8,8,10-Apr,@,CHC,"L,2-3",37,32,2,6,1,0,0,1,3,0,10,1,0,0,1,1,0,1,0.254,0.352,0.431,0.783,8,19,L,J.Lester(66)
9,9,12-Apr,@,CHC,"W,2-0",38,32,2,5,1,0,1,1,6,0,14,0,0,0,0,1,0,0,0.243,0.345,0.414,0.76,9,16,R,J.Lackey(67)
10,10,13-Apr,@,CHC,"L,0-4",36,32,0,6,2,0,0,0,4,0,5,0,0,0,0,0,0,0,0.238,0.339,0.398,0.737,9,17,L,B.Anderson(59)
11,11,14-Apr,,ARI,"W,7-1",40,34,7,13,2,0,1,7,4,0,4,0,1,1,0,1,0,0,0.251,0.348,0.411,0.758,9,10,R,Z.Greinke(28)
12,12,15-Apr,,ARI,"W,8-4",42,34,8,11,4,0,2,7,4,1,7,2,0,2,1,0,2,0,0.258,0.353,0.429,0.782,10,16,L,P.Corbin(38)
13,13,16-Apr,,ARI,"L,1-3",34,31,1,5,1,0,0,1,3,0,9,0,0,0,0,1,0,0,0.251,0.345,0.411,0.756,6,15,R,T.Walker(61)
14,14,17-Apr,,ARI,"L,2-4",36,30,2,5,1,0,1,2,4,0,15,0,1,1,1,0,0,1,0.245,0.339,0.404,0.743,7,15,L,R.Ray(66)
15,15,18-Apr,,COL,"L,3-4",42,34,3,9,0,0,0,3,5,0,7,2,1,0,0,1,0,0,0.246,0.343,0.394,0.737,12,16,L,K.Freeland(49)
16,16,19-Apr,,COL,"W,4-2",34,31,4,7,3,1,1,4,2,0,7,0,1,0,1,0,0,0,0.245,0.339,0.4,0.739,6,14,L,T.Anderson(47)
17,17,21-Apr,@,ARI,"L,5-13",37,35,5,9,3,0,2,5,1,0,7,1,0,0,0,1,0,0,0.246,0.336,0.407,0.743,5,18,R,T.Walker(44)
