Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,3-Apr,@,TEX,"W,8-5",40,34,8,9,3,0,2,7,5,0,4,0,0,1,1,2,1,0,0.265,0.35,0.529,0.879,5,10,R,Y.Darvish(48)
2,2,4-Apr,@,TEX,"W,4-3",37,32,4,8,0,0,1,4,5,0,9,0,0,0,0,1,0,1,0.258,0.351,0.439,0.79,6,11,L,M.Perez(48)
3,3,5-Apr,@,TEX,"W,9-6",40,34,9,9,0,0,2,9,4,0,7,1,0,1,0,0,1,0,0.26,0.35,0.44,0.79,4,13,L,C.Hamels(51)
4,4,7-Apr,@,ARI,"L,3-7",38,34,3,6,2,0,1,3,4,0,8,0,0,0,1,0,1,0,0.239,0.329,0.41,0.739,8,14,R,S.Miller(50)
5,5,8-Apr,@,ARI,"L,2-11",33,33,2,7,3,0,0,2,0,0,7,0,0,0,0,1,0,0,0.234,0.309,0.389,0.698,4,14,R,Z.Greinke(66)
6,6,9-Apr,@,ARI,"L,2-3",38,34,2,7,1,0,0,1,3,0,5,0,1,0,1,1,0,0,0.229,0.302,0.363,0.665,9,14,L,P.Corbin(65)
7,7,11-Apr,,CHW,"W,2-1",39,31,2,5,3,0,1,2,7,2,12,0,1,0,0,2,0,0,0.22,0.304,0.362,0.666,8,9,R,J.Shields(64)
8,8,12-Apr,,CHW,"L,1-2",35,30,1,3,2,0,0,1,4,0,9,0,0,0,0,0,0,0,0.206,0.293,0.34,0.633,7,10,L,D.Holland(70)
9,9,13-Apr,,CHW,"L,4-10",42,37,4,12,2,0,2,4,4,0,9,0,0,1,0,1,0,0,0.221,0.304,0.365,0.668,11,9,R,M.Gonzalez(37)
10,10,14-Apr,,DET,"L,6-7",45,37,6,8,2,0,1,6,7,0,9,1,0,0,1,0,0,0,0.22,0.31,0.363,0.673,12,10,L,D.Norris(69)
11,11,15-Apr,,DET,"W,13-6",46,42,13,19,2,0,4,13,4,0,7,0,0,0,0,0,0,0,0.246,0.33,0.41,0.74,9,10,R,J.Verlander(7)
12,12,16-Apr,,DET,"L,1-4",34,31,1,8,1,0,0,1,2,0,8,0,0,1,0,3,2,0,0.247,0.328,0.401,0.729,6,10,L,M.Boyd(55)
13,13,17-Apr,@,MIN,"W,3-1",40,36,3,10,1,0,1,3,2,0,6,2,0,0,0,1,0,0,0.249,0.329,0.4,0.729,10,10,R,K.Gibson(38)
14,14,18-Apr,@,MIN,"W,11-4",43,37,11,12,2,1,2,10,2,0,6,2,1,1,1,0,0,0,0.255,0.333,0.415,0.748,5,11,R,P.Hughes(27)
