Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,3-Apr,,MIA,"W,4-2",34,31,4,9,2,0,2,4,3,0,9,0,0,0,0,2,2,0,0.29,0.353,0.548,0.901,6,12,R,E.Volquez(64)
2,2,5-Apr,,MIA,"W,6-4",36,31,6,11,3,0,1,6,4,0,5,0,1,0,0,1,0,1,0.323,0.391,0.548,0.94,6,15,R,D.Straily(26)
3,3,6-Apr,,MIA,"L,3-4",42,36,3,8,1,0,3,3,6,3,7,0,0,0,0,1,1,0,0.286,0.369,0.531,0.9,9,16,R,T.Koehler(56)
4,4,7-Apr,@,PHI,"W,7-6",41,35,7,11,2,0,3,7,6,0,17,0,0,0,0,3,1,0,0.293,0.382,0.556,0.938,7,14,R,V.Velasquez(43)
5,5,8-Apr,@,PHI,"L,3-17",36,34,3,10,2,0,0,3,2,0,10,0,0,0,0,2,1,0,0.293,0.372,0.515,0.887,6,17,R,A.Nola(51)
6,6,9-Apr,@,PHI,"L,3-4",37,33,3,6,2,0,1,3,4,0,6,0,0,0,0,0,0,0,0.275,0.356,0.485,0.841,7,14,R,J.Hellickson(66)
7,7,10-Apr,,STL,"W,14-6",49,40,14,19,4,0,0,14,6,1,8,0,1,2,1,1,1,0,0.308,0.385,0.5,0.885,11,16,R,A.Wainwright(19)
8,8,11-Apr,,STL,"W,8-3",41,36,8,11,4,0,3,7,4,0,5,1,0,0,1,0,0,0,0.308,0.385,0.522,0.907,9,13,R,L.Lynn(37)
9,9,12-Apr,,STL,"L,1-6",34,34,1,8,2,0,0,1,0,0,8,0,0,0,0,0,0,0,0.3,0.371,0.497,0.867,6,16,R,M.Leake(76)
10,10,14-Apr,,PHI,"W,3-2",40,35,3,9,3,0,0,3,4,1,9,1,0,0,0,1,0,0,0.296,0.369,0.481,0.85,10,14,R,A.Nola(57)
11,11,15-Apr,,PHI,"L,2-4",32,31,2,4,1,0,1,2,1,0,3,0,0,0,0,0,0,0,0.282,0.352,0.463,0.815,3,12,R,J.Hellickson(62)
12,12,16-Apr,,PHI,"W,6-4",39,37,6,11,3,0,2,6,2,1,5,0,0,0,0,0,0,0,0.283,0.351,0.47,0.82,7,14,R,J.Eickhoff(48)
13,13,18-Apr,@,ATL,"W,3-1",36,31,3,7,4,0,0,3,4,0,4,0,1,0,1,1,0,2,0.279,0.348,0.462,0.81,6,13,R,M.Foltynewicz(58)
14,14,19-Apr,@,ATL,"W,14-4",52,46,14,20,3,0,3,13,6,2,7,0,0,0,0,1,1,0,0.294,0.363,0.484,0.846,11,15,R,J.Teheran(20)
15,15,20-Apr,@,ATL,"W,3-2",34,30,3,4,1,0,1,3,3,0,6,0,0,1,0,0,0,0,0.285,0.353,0.471,0.825,4,13,R,R.Dickey(60)
16,16,21-Apr,@,NYM,"W,4-3",44,36,4,5,1,0,2,4,6,1,6,1,1,0,0,0,0,1,0.275,0.348,0.462,0.811,7,15,R,M.Harvey(57)
17,17,22-Apr,@,NYM,"W,3-1",41,34,3,8,2,0,0,3,7,1,15,0,0,0,1,1,0,0,0.273,0.349,0.453,0.802,11,13,R,J.deGrom(45)
18,18,23-Apr,@,NYM,"W,6-3",35,32,6,6,0,0,2,6,2,0,8,1,0,0,0,1,0,0,0.268,0.345,0.449,0.793,2,12,R,Z.Wheeler(57)
19,19,24-Apr,@,COL,"L,4-8",36,33,4,8,2,1,1,4,2,0,7,0,1,0,0,1,0,0,0.267,0.342,0.449,0.791,5,14,L,T.Anderson(45)
20,20,25-Apr,@,COL,"W,15-12",47,41,15,14,3,2,1,14,6,0,5,0,0,0,1,1,0,0,0.272,0.347,0.457,0.804,5,17,R,G.Marquez(11)
21,21,26-Apr,@,COL,"W,11-4",45,40,11,14,2,0,3,11,5,0,9,0,0,0,1,2,0,0,0.276,0.351,0.466,0.817,7,15,R,T.Chatwood(32)
22,22,27-Apr,@,COL,"W,16-5",53,45,16,19,5,0,3,15,7,1,4,1,0,0,0,1,2,0,0.284,0.361,0.481,0.842,10,13,R,A.Senzatela(40)
23,23,28-Apr,,NYM,"L,5-7",39,38,5,13,0,0,3,5,1,0,15,0,0,0,0,2,0,0,0.287,0.361,0.486,0.847,7,17,R,J.deGrom(64)
24,24,29-Apr,,NYM,"L,3-5",38,33,3,7,2,0,1,3,5,1,10,0,0,0,1,1,2,0,0.284,0.359,0.481,0.84,8,14,R,Z.Wheeler(48)
25,25,30-Apr,,NYM,"W,23-5",54,46,23,23,4,0,7,23,6,3,6,0,1,1,1,0,0,0,0.295,0.369,0.51,0.879,7,17,R,N.Syndergaard(24)
26,26,2-May,,ARI,"L,3-6",40,33,3,7,3,0,0,3,7,0,11,0,0,0,0,1,1,0,0.292,0.368,0.503,0.871,10,13,R,T.Walker(43)
27,27,3-May,,ARI,"W,2-1",30,29,2,6,1,1,0,2,1,0,10,0,0,0,0,1,0,0,0.29,0.364,0.497,0.861,4,11,L,R.Ray(65)
28,28,4-May,,ARI,"W,4-2",40,32,4,9,1,0,0,4,8,0,6,0,0,0,0,1,4,0,0.289,0.366,0.491,0.857,12,14,R,B.Shipley(36)
29,29,5-May,@,PHI,"W,4-2",42,39,4,12,2,0,3,4,2,1,11,1,0,0,0,0,0,0,0.29,0.366,0.495,0.861,11,13,R,N.Pivetta(39)
30,30,6-May,@,PHI,"W,6-2",37,34,6,8,2,0,2,6,2,0,9,0,1,0,0,0,0,0,0.288,0.363,0.494,0.857,4,12,R,V.Velasquez(47)
31,31,7-May,@,PHI,"L,5-6",43,35,5,7,1,0,2,5,6,0,8,0,1,1,1,0,0,1,0.285,0.362,0.491,0.852,8,16,R,J.Hellickson(43)
32,32,8-May,@,BAL,"L,4-6",36,34,4,8,4,0,1,4,2,0,11,0,0,0,0,0,0,0,0.284,0.359,0.489,0.849,5,11,R,K.Gausman(66)
33,33,9-May,@,BAL,"L,4-5",46,42,4,8,1,0,2,4,4,2,11,0,0,0,0,0,2,1,0.281,0.356,0.485,0.84,6,12,R,U.Jimenez(57)
34,34,10-May,,BAL,"W,7-6",43,37,7,13,1,0,2,7,6,1,9,0,0,0,0,1,0,0,0.283,0.359,0.486,0.845,11,13,L,W.Miley(50)
35,35,13-May,,PHI,"W,6-4",39,35,6,10,3,0,2,6,4,0,7,0,0,0,0,0,0,1,0.283,0.359,0.488,0.846,7,18,R,N.Pivetta(39)
36,36,May 14 (1),,PHI,"L,3-4",37,33,3,9,0,1,2,3,2,0,1,1,1,0,0,2,0,0,0.283,0.358,0.489,0.847,7,16,R,J.Hellickson(44)
37,37,May 14 (2),,PHI,"W,6-5",36,31,6,8,3,0,1,6,4,1,9,0,0,1,1,0,1,0,0.282,0.357,0.488,0.845,6,14,R,V.Velasquez(49)
38,38,16-May,@,PIT,"W,8-4",41,39,8,14,3,1,2,8,2,0,8,0,0,0,0,2,1,0,0.284,0.358,0.492,0.85,6,16,R,C.Kuhl(20)
39,39,17-May,@,PIT,"L,1-6",32,29,1,3,1,0,0,1,3,0,3,0,0,0,0,0,1,0,0.28,0.355,0.485,0.839,4,14,R,G.Cole(68)
40,40,18-May,@,PIT,"L,4-10",37,33,4,6,2,0,1,2,4,0,11,0,0,0,1,1,0,0,0.278,0.353,0.481,0.834,6,15,R,T.Glasnow(52)
41,41,19-May,@,ATL,"L,4-7",38,34,4,9,4,0,1,4,3,0,6,0,1,0,0,1,1,0,0.278,0.352,0.481,0.833,7,13,R,R.Dickey(35)
42,42,20-May,@,ATL,"L,2-5",35,34,2,7,0,0,0,2,1,0,8,0,0,0,1,0,0,1,0.276,0.349,0.475,0.824,6,14,R,B.Colon(49)
43,43,21-May,@,ATL,"W,3-2",35,34,3,7,0,1,1,2,0,0,9,0,1,0,2,1,1,0,0.275,0.347,0.472,0.818,5,11,L,J.Garcia(68)
44,44,23-May,,SEA,"W,10-1",38,36,10,15,1,1,4,10,2,0,4,0,0,0,0,2,0,0,0.278,0.349,0.48,0.829,4,11,R,C.Bergman(-8)
45,45,24-May,,SEA,"W,5-1",35,29,5,7,1,0,1,5,4,2,2,0,1,1,1,1,3,0,0.277,0.348,0.478,0.827,6,13,R,S.Gaviglio(47)
46,46,25-May,,SEA,"L,2-4",36,33,2,6,2,0,1,2,3,0,7,0,0,0,1,0,0,1,0.275,0.346,0.476,0.822,7,17,L,A.Miranda(54)
47,47,26-May,,SDP,"W,5-1",36,33,5,9,4,0,3,5,3,1,9,0,0,0,0,0,1,0,0.275,0.346,0.479,0.825,7,10,R,L.Perdomo(50)
48,48,27-May,,SDP,"W,3-0",35,33,3,10,2,0,1,3,2,0,8,0,0,0,1,1,1,2,0.276,0.346,0.479,0.825,8,11,L,C.Richard(44)
49,49,28-May,,SDP,"L,3-5",39,34,3,8,2,0,0,3,4,0,11,0,1,0,0,0,0,0,0.275,0.345,0.475,0.821,9,15,R,J.Chacin(39)
50,50,29-May,@,SFG,"W,3-0",37,35,3,8,1,0,1,3,1,0,6,1,0,0,1,0,0,1,0.274,0.344,0.473,0.816,7,15,L,M.Moore(62)
51,51,30-May,@,SFG,"W,6-3",44,39,6,14,2,1,0,6,3,0,11,0,2,0,1,1,1,0,0.276,0.345,0.472,0.818,11,11,R,J.Samardzija(37)
52,52,31-May,@,SFG,"W,3-1",39,36,3,10,2,0,1,3,3,0,6,0,0,0,0,1,1,0,0.276,0.345,0.471,0.816,9,9,R,M.Cain(39)
53,53,2-Jun,@,OAK,"W,13-3",50,47,13,20,3,1,5,13,3,0,6,0,0,0,0,0,1,0,0.28,0.348,0.481,0.829,10,10,R,A.Triggs(21)
54,54,3-Jun,@,OAK,"L,4-10",42,35,4,8,2,0,1,4,5,0,8,1,0,1,3,0,0,1,0.279,0.347,0.479,0.826,11,10,R,D.Mengden(36)
55,55,4-Jun,@,OAK,"W,11-10",42,36,11,11,1,1,3,11,5,1,7,0,0,1,0,2,3,0,0.279,0.348,0.482,0.83,4,10,R,S.Gray(60)
56,56,5-Jun,@,LAD,"W,4-2",37,36,4,7,1,0,1,4,1,0,5,0,0,0,1,0,0,0,0.278,0.346,0.479,0.824,6,13,L,H.Ryu(51)
57,57,6-Jun,@,LAD,"W,2-1",33,28,2,4,1,0,0,2,3,0,6,0,0,2,0,0,2,0,0.276,0.344,0.474,0.818,4,12,R,B.McCarthy(65)
58,58,7-Jun,@,LAD,"L,1-2",35,32,1,5,0,1,1,1,3,0,11,0,0,0,0,0,1,0,0.274,0.342,0.472,0.814,7,14,L,C.Kershaw(73)
59,59,8-Jun,,BAL,"W,6-1",40,35,6,11,2,0,1,6,4,1,11,0,0,1,1,0,5,0,0.275,0.343,0.472,0.814,10,12,R,A.Asher(30)
60,60,9-Jun,,TEX,"L,2-5",37,35,2,9,1,0,0,2,2,0,6,0,0,0,0,0,0,0,0.274,0.342,0.468,0.81,8,16,R,A.Cashner(63)
61,61,10-Jun,,TEX,"L,3-6",43,40,3,10,2,0,1,3,2,0,14,0,0,1,0,1,0,1,0.274,0.341,0.467,0.808,7,19,L,M.Perez(49)
62,62,11-Jun,,TEX,"L,1-5",30,29,1,3,0,0,1,1,1,0,5,0,0,0,0,1,0,0,0.272,0.338,0.463,0.802,2,14,R,A.Bibens-Dirkx(68)
63,63,12-Jun,,ATL,"L,10-11",47,42,10,17,4,0,3,10,4,1,6,0,0,1,0,1,0,0,0.274,0.34,0.468,0.808,10,14,R,M.Foltynewicz(4)
64,64,13-Jun,,ATL,"W,10-5",39,37,10,14,3,1,3,10,1,0,7,1,0,0,0,0,1,0,0.276,0.341,0.473,0.814,5,16,R,R.Dickey(25)
65,65,14-Jun,,ATL,"L,2-13",33,32,2,7,0,0,1,2,1,0,4,0,0,0,1,2,0,1,0.275,0.34,0.47,0.811,4,15,R,J.Teheran(59)
66,66,15-Jun,@,NYM,"W,8-3",41,39,8,12,4,1,2,8,2,0,7,0,0,0,1,0,0,0,0.276,0.34,0.473,0.813,6,12,R,R.Gsellman(18)
67,67,16-Jun,@,NYM,"W,7-2",43,39,7,12,3,0,3,7,4,2,7,0,0,0,0,0,1,0,0.276,0.341,0.475,0.816,9,12,L,S.Matz(49)
68,68,17-Jun,@,NYM,"W,7-4",41,37,7,11,2,0,3,6,3,1,7,0,1,0,1,0,0,1,0.276,0.341,0.477,0.818,7,14,R,S.Lugo(49)
69,69,18-Jun,@,NYM,"L,1-5",34,31,1,4,1,0,0,1,2,0,7,0,0,1,1,0,4,0,0.275,0.339,0.473,0.812,6,12,R,J.deGrom(78)
70,70,19-Jun,@,MIA,"L,7-8",42,40,7,13,4,0,2,7,2,1,8,0,0,0,1,1,0,0,0.275,0.339,0.475,0.814,8,16,L,J.Nicolino(27)
71,71,20-Jun,@,MIA,"W,12-3",44,38,12,11,3,0,1,12,6,2,8,0,0,0,1,1,3,0,0.276,0.34,0.474,0.814,5,13,R,E.Volquez(29)
72,72,21-Jun,@,MIA,"L,1-2",32,29,1,5,0,0,1,1,2,0,9,0,1,0,0,1,0,1,0.274,0.339,0.472,0.811,4,9,R,D.Straily(67)
73,73,23-Jun,,CIN,"W,6-5",48,37,6,13,0,0,4,6,9,0,11,0,1,1,0,3,1,0,0.276,0.341,0.475,0.816,13,17,R,L.Castillo(49)
74,74,24-Jun,,CIN,"W,18-3",51,40,18,19,5,0,2,17,7,0,10,0,1,3,1,0,0,0,0.279,0.344,0.479,0.823,9,16,R,H.Bailey(10)
75,75,25-Jun,,CIN,"L,2-6",36,34,2,8,1,0,1,2,2,0,6,0,0,0,0,0,0,0,0.278,0.343,0.478,0.821,7,15,R,S.Feldman(58)
76,76,26-Jun,,CHC,"L,4-5",40,39,4,12,4,0,0,3,1,0,8,0,0,0,1,0,0,0,0.278,0.343,0.477,0.819,9,16,R,E.Butler(60)
77,77,27-Jun,,CHC,"W,6-1",39,32,6,9,1,0,0,4,7,0,6,0,0,0,1,1,7,0,0.278,0.344,0.475,0.818,9,14,R,J.Arrieta(26)
78,78,28-Jun,,CHC,"W,8-4",39,34,8,11,4,0,3,8,3,0,6,1,0,1,1,1,1,0,0.279,0.344,0.478,0.822,7,12,R,J.Lackey(18)
79,79,29-Jun,,CHC,"L,4-5",37,31,4,6,2,0,1,4,5,0,10,1,0,0,0,0,2,2,0.278,0.344,0.476,0.82,6,17,L,J.Lester(66)
80,80,30-Jun,@,STL,"L,1-8",32,28,1,6,2,0,0,0,4,0,5,0,0,0,0,4,0,0,0.277,0.344,0.474,0.818,4,14,R,M.Leake(69)
81,81,1-Jul,@,STL,"L,1-2",36,33,1,7,1,0,0,1,3,0,14,0,0,0,0,1,0,0,0.277,0.343,0.472,0.814,8,15,R,M.Wacha(72)
82,82,2-Jul,@,STL,"W,7-2",43,31,7,10,5,0,2,7,8,3,5,0,2,2,0,2,0,0,0.277,0.344,0.474,0.818,9,13,R,C.Martinez(32)
83,83,3-Jul,,NYM,"W,3-2",37,31,3,6,0,0,1,3,6,0,4,0,0,0,1,2,1,0,0.276,0.344,0.472,0.816,8,17,L,S.Matz(71)
84,84,4-Jul,,NYM,"W,11-4",42,37,11,14,3,0,0,10,5,0,7,0,0,0,0,0,1,0,0.278,0.345,0.472,0.817,7,13,R,S.Lugo(24)
85,85,6-Jul,,ATL,"L,2-5",38,36,2,11,4,0,1,2,1,1,9,0,0,1,0,1,0,0,0.278,0.345,0.472,0.817,9,17,R,M.Foltynewicz(52)
86,86,7-Jul,,ATL,"W,5-4",41,35,5,10,1,0,0,5,3,0,9,1,1,1,0,1,0,0,0.278,0.345,0.47,0.815,8,17,R,R.Dickey(73)
87,87,8-Jul,,ATL,"L,0-13",36,32,0,4,1,0,0,0,4,0,7,0,0,0,1,0,0,0,0.276,0.344,0.467,0.811,9,16,R,J.Teheran(72)
88,88,9-Jul,,ATL,"W,10-5",42,33,10,12,3,0,0,10,7,0,9,0,0,2,0,1,1,0,0.277,0.345,0.467,0.812,8,16,L,S.Newcomb(41)
89,89,14-Jul,@,CIN,"W,5-0",39,35,5,9,3,0,2,5,4,0,11,0,0,0,0,0,0,0,0.277,0.345,0.467,0.812,7,11,R,T.Adleman(30)
90,90,15-Jul,@,CIN,"W,10-7",44,38,10,12,1,0,3,10,6,0,9,0,0,0,0,1,1,0,0.278,0.346,0.469,0.814,7,16,R,L.Castillo(56)
91,91,16-Jul,@,CIN,"W,14-4",48,44,14,17,3,0,5,14,3,0,11,1,0,0,0,0,1,0,0.279,0.347,0.473,0.82,7,14,R,H.Bailey(17)
92,92,17-Jul,@,CIN,"W,6-1",41,36,6,11,1,1,3,6,4,0,8,0,0,1,0,0,0,0,0.279,0.347,0.475,0.822,8,12,R,S.Feldman(22)
93,93,18-Jul,@,LAA,"W,4-3",38,37,4,12,0,1,3,4,1,0,9,0,0,0,0,1,0,0,0.28,0.347,0.477,0.824,7,9,R,J.Chavez(53)
94,94,19-Jul,@,LAA,"L,0-7",29,28,0,1,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0.278,0.345,0.473,0.818,2,9,R,A.Meyer(81)
95,95,21-Jul,@,ARI,"L,5-6",39,34,5,8,5,0,0,5,4,0,12,0,1,0,0,0,0,0,0.277,0.345,0.472,0.817,7,17,R,Z.Godley(50)
96,96,22-Jul,@,ARI,"W,4-3",39,38,4,12,4,1,1,4,1,0,10,0,0,0,0,0,1,0,0.278,0.344,0.473,0.818,8,12,L,A.Banda(44)
97,97,23-Jul,@,ARI,"W,6-2",39,35,6,9,0,0,2,6,3,0,6,0,0,1,1,0,0,1,0.278,0.344,0.473,0.817,6,17,L,R.Ray(39)
98,98,25-Jul,,MIL,"L,0-8",35,32,0,5,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0.276,0.343,0.471,0.814,8,14,R,Z.Davies(77)
99,99,26-Jul,,MIL,"W,8-5",36,34,8,10,4,0,1,8,2,1,12,0,0,0,0,0,0,0,0.277,0.343,0.471,0.814,4,14,R,J.Nelson(70)
100,100,27-Jul,,MIL,"W,15-2",48,42,15,19,5,0,8,15,5,0,9,0,1,0,1,0,1,0,0.279,0.345,0.479,0.824,9,15,R,M.Blazek(14)
101,101,29-Jul,,COL,"L,2-4",30,30,2,3,1,0,0,2,0,0,12,0,0,0,0,0,0,0,0.277,0.343,0.476,0.819,1,14,R,G.Marquez(73)
102,102,Jul 30 (1),,COL,"L,6-10",42,40,6,13,2,0,3,6,2,0,9,0,0,0,1,1,0,0,0.278,0.343,0.477,0.821,9,16,L,K.Freeland(39)
103,103,Jul 30 (2),,COL,"W,3-1",29,28,3,4,0,1,2,3,1,0,8,0,0,0,0,0,0,0,0.277,0.342,0.477,0.819,2,12,R,J.Gray(64)
104,104,31-Jul,@,MIA,"W,1-0",31,29,1,3,1,0,0,1,1,0,8,0,1,0,1,1,0,0,0.275,0.34,0.474,0.815,3,11,R,J.Urena(77)
105,105,1-Aug,@,MIA,"L,6-7",40,37,6,11,2,0,2,6,3,0,6,0,0,0,0,0,0,1,0.276,0.341,0.475,0.815,7,16,L,C.O'Grady(22)
106,106,2-Aug,@,MIA,"L,0-7",28,28,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0.275,0.339,0.472,0.811,1,14,R,V.Worley(76)
107,107,4-Aug,@,CHC,"W,4-2",36,32,4,7,0,0,2,4,3,0,7,0,0,1,0,1,1,0,0.274,0.339,0.472,0.81,5,13,R,K.Hendricks(58)
108,108,5-Aug,@,CHC,"L,4-7",39,33,4,7,1,0,1,3,5,0,9,0,0,1,0,0,1,0,0.274,0.338,0.47,0.809,8,15,R,J.Lackey(47)
109,109,6-Aug,@,CHC,"W,9-4",40,35,9,10,3,1,2,9,2,1,11,1,0,2,1,1,1,0,0.274,0.338,0.472,0.81,4,15,L,J.Lester(56)
110,110,7-Aug,,MIA,"W,3-2",31,28,3,7,0,0,1,3,1,0,6,1,1,0,0,1,0,0,0.273,0.338,0.471,0.809,4,14,L,C.O'Grady(51)
111,111,8-Aug,,MIA,"L,3-7",39,34,3,11,3,0,0,3,3,0,4,0,1,1,1,1,1,1,0.274,0.338,0.47,0.809,9,15,R,V.Worley(55)
112,112,9-Aug,,MIA,"W,10-1",44,34,10,14,4,0,2,10,7,3,6,1,1,1,0,2,0,0,0.275,0.34,0.472,0.812,10,12,L,A.Conley(26)
113,113,10-Aug,,MIA,"W,3-2",31,28,3,7,2,0,1,3,1,0,2,0,2,0,0,1,1,0,0.275,0.34,0.472,0.812,4,14,R,D.Straily(54)
114,114,12-Aug,,SFG,"W,3-1",37,34,3,11,3,0,0,3,3,0,7,0,0,0,0,0,0,0,0.275,0.34,0.472,0.811,10,14,R,J.Samardzija(47)
115,115,Aug 13 (1),,SFG,"L,2-4",35,34,2,7,0,0,1,2,1,0,12,0,0,0,0,0,1,0,0.275,0.339,0.47,0.809,6,14,R,C.Stratton(73)
