Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,3-Apr,,PIT,"W,5-3",35,33,5,10,0,1,1,5,2,0,7,0,0,0,0,1,2,0,0.303,0.343,0.455,0.797,6,9,R,G.Cole(34)
2,2,5-Apr,,PIT,"W,3-0",45,39,3,8,1,0,1,3,6,0,10,0,0,0,0,2,1,0,0.25,0.325,0.375,0.7,8,9,R,J.Taillon(70)
3,3,7-Apr,@,DET,"L,5-6",41,37,5,10,3,0,1,5,3,0,6,1,0,0,1,1,1,0,0.257,0.331,0.394,0.725,9,10,R,M.Fulmer(66)
4,4,8-Apr,@,DET,"L,1-4",35,30,1,6,2,0,0,1,2,0,7,2,0,1,0,2,0,0,0.245,0.321,0.367,0.687,7,10,R,J.Zimmermann(62)
5,5,9-Apr,@,DET,"W,7-5",40,34,7,11,3,0,0,6,6,1,3,0,0,0,0,2,0,1,0.26,0.342,0.376,0.718,6,10,L,D.Norris(46)
6,6,10-Apr,@,DET,"L,1-2",34,31,1,4,2,0,0,0,3,0,7,0,0,0,1,1,0,0,0.24,0.322,0.348,0.67,6,10,R,J.Verlander(71)
7,7,11-Apr,,BAL,"W,8-1",40,35,8,15,2,1,0,8,3,0,5,0,0,2,1,2,1,1,0.268,0.341,0.377,0.717,8,9,R,D.Bundy(48)
8,8,12-Apr,,BAL,"L,5-12",43,37,5,11,3,0,1,5,4,0,5,1,0,1,1,1,0,0,0.272,0.345,0.388,0.733,11,10,R,U.Jimenez(26)
9,9,13-Apr,,PIT,"W,4-3",34,31,4,8,3,0,0,4,3,1,7,0,0,0,0,0,0,0,0.27,0.343,0.384,0.727,6,10,R,C.Kuhl(65)
10,10,14-Apr,,TBR,"L,5-10",44,40,5,14,3,0,0,5,3,0,7,1,0,0,0,0,0,0,0.28,0.35,0.389,0.739,12,10,R,C.Archer(56)
11,11,15-Apr,,TBR,"W,2-1",32,30,2,6,1,0,1,2,2,1,4,0,0,0,0,0,0,0,0.273,0.343,0.385,0.727,6,9,R,J.Odorizzi(51)
12,12,16-Apr,,TBR,"W,7-5",40,37,7,17,5,0,1,7,3,1,3,0,0,0,0,2,0,0,0.29,0.356,0.411,0.767,9,10,R,A.Cobb(28)
13,13,17-Apr,,TBR,"W,4-3",35,32,4,9,1,0,0,4,3,0,6,0,0,0,0,1,0,1,0.289,0.355,0.404,0.759,7,9,L,B.Snell(46)
14,14,18-Apr,@,TOR,"W,8-7",43,40,8,15,3,0,1,8,3,0,8,0,0,0,0,1,0,1,0.296,0.36,0.414,0.774,8,9,R,M.Stroman(21)
15,15,19-Apr,@,TOR,"L,0-3",34,32,0,6,0,0,0,0,2,0,9,0,0,0,1,2,0,0,0.29,0.353,0.4,0.753,7,9,L,F.Liriano(65)
16,16,20-Apr,@,TOR,"W,4-1",40,36,4,7,2,0,0,4,4,0,10,0,0,0,0,0,3,0,0.283,0.348,0.39,0.738,6,11,R,M.Estrada(71)
17,17,21-Apr,@,BAL,"L,0-2",33,31,0,6,0,0,0,0,2,0,4,0,0,0,1,3,1,0,0.279,0.343,0.379,0.722,6,12,R,D.Bundy(67)
18,18,22-Apr,@,BAL,"L,2-4",37,33,2,6,0,0,1,2,3,0,5,1,0,0,0,0,1,0,0.273,0.339,0.374,0.712,8,10,L,J.Aquino(51)
19,19,23-Apr,@,BAL,"W,6-2",41,37,6,14,1,0,3,6,4,0,4,0,0,0,0,2,0,1,0.279,0.344,0.389,0.734,8,10,R,K.Gausman(33)
20,20,26-Apr,,NYY,"L,1-3",34,30,1,4,1,0,0,1,4,0,10,0,0,0,0,1,0,0,0.273,0.339,0.38,0.719,6,10,R,L.Severino(75)
21,21,27-Apr,,NYY,"L,0-3",29,29,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0.266,0.331,0.368,0.699,2,9,R,M.Tanaka(84)
22,22,28-Apr,,CHC,"W,5-4",36,33,5,13,2,0,1,5,3,0,10,0,0,0,0,2,0,1,0.272,0.336,0.376,0.712,7,9,R,J.Arrieta(25)
23,23,29-Apr,,CHC,"L,4-7",36,34,4,10,1,1,2,4,1,0,8,0,0,1,0,1,0,0,0.273,0.334,0.384,0.719,5,9,R,J.Lackey(43)
24,24,30-Apr,,CHC,"W,6-2",34,29,6,6,0,0,1,3,5,0,9,0,0,0,1,1,0,0,0.27,0.334,0.381,0.716,4,9,R,K.Hendricks(61)
25,25,1-May,,BAL,"L,2-5",35,30,2,6,2,0,0,2,4,0,2,1,0,0,0,2,0,0,0.268,0.333,0.377,0.711,6,10,R,D.Bundy(57)
26,26,2-May,,BAL,"W,5-2",34,32,5,10,2,0,2,5,2,0,4,0,0,0,0,0,0,0,0.269,0.334,0.384,0.718,5,9,R,A.Asher(51)
27,27,3-May,,BAL,"W,4-2",36,29,4,6,1,0,0,4,5,0,2,1,0,1,1,1,2,1,0.267,0.334,0.38,0.714,8,10,R,K.Gausman(48)
28,28,4-May,,BAL,"L,3-8",36,35,3,9,0,0,1,2,1,0,4,0,0,0,0,1,0,0,0.267,0.332,0.378,0.71,6,9,R,T.Wilson(49)
29,29,5-May,@,MIN,"L,3-4",38,36,3,9,2,0,1,3,2,1,5,0,0,0,0,0,0,0,0.266,0.331,0.379,0.709,8,12,R,P.Hughes(60)
30,30,6-May,@,MIN,"W,11-1",49,43,11,16,4,0,3,11,6,0,8,0,0,0,1,1,1,0,0.271,0.336,0.391,0.727,11,10,R,N.Tepesch(29)
31,31,7-May,@,MIN,"W,17-6",52,42,17,16,6,1,5,17,9,2,5,1,0,0,0,1,1,0,0.275,0.343,0.412,0.755,8,10,R,E.Santana(39)
